country,year,sex,age,suicides_no,population,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Colombia,2013,male,25-34 years,381,3931611,0.735,"380,191,881,860",8731,Millenials
Colombia,2013,male,35-54 years,462,5947520,0.735,"380,191,881,860",8731,Generation X
Colombia,2013,female,15-24 years,141,4114036,0.735,"380,191,881,860",8731,Millenials
Colombia,2013,female,25-34 years,81,3977885,0.735,"380,191,881,860",8731,Millenials
Colombia,2013,female,35-54 years,101,6365459,0.735,"380,191,881,860",8731,Generation X
Colombia,2013,female,55-74 years,41,3079952,0.735,"380,191,881,860",8731,Boomers
Colombia,2013,male,5-14 years,41,4126269,0.735,"380,191,881,860",8731,Generation Z
Colombia,2013,female,5-14 years,36,3959475,0.735,"380,191,881,860",8731,Generation Z
Colombia,2013,female,75+ years,5,665950,0.735,"380,191,881,860",8731,Silent
Colombia,2014,male,75+ years,83,486197,0.738,"378,195,716,714",8591,Silent
Colombia,2014,male,15-24 years,480,4216293,0.738,"378,195,716,714",8591,Millenials
Colombia,2014,male,55-74 years,283,2795271,0.738,"378,195,716,714",8591,Boomers
Colombia,2014,male,25-34 years,395,3965410,0.738,"378,195,716,714",8591,Millenials
Colombia,2014,male,35-54 years,477,6046987,0.738,"378,195,716,714",8591,Generation X
Colombia,2014,female,15-24 years,132,4092325,0.738,"378,195,716,714",8591,Millenials
Colombia,2014,female,25-34 years,82,4007103,0.738,"378,195,716,714",8591,Millenials
Colombia,2014,female,55-74 years,43,3219142,0.738,"378,195,716,714",8591,Boomers
Colombia,2014,female,35-54 years,82,6467724,0.738,"378,195,716,714",8591,Generation X
Colombia,2014,male,5-14 years,37,4100740,0.738,"378,195,716,714",8591,Generation Z
Colombia,2014,female,75+ years,5,690028,0.738,"378,195,716,714",8591,Silent
Colombia,2014,female,5-14 years,27,3934580,0.738,"378,195,716,714",8591,Generation Z
Colombia,2015,male,75+ years,82,502228,0.742,"291,519,591,533",6552,Silent
Colombia,2015,male,15-24 years,473,4197599,0.742,"291,519,591,533",6552,Millenials
Colombia,2015,male,55-74 years,317,2926656,0.742,"291,519,591,533",6552,Boomers
Colombia,2015,male,25-34 years,379,3994717,0.742,"291,519,591,533",6552,Millenials
Colombia,2015,male,35-54 years,560,6143478,0.742,"291,519,591,533",6552,Generation X
Colombia,2015,female,15-24 years,176,4070390,0.742,"291,519,591,533",6552,Millenials
Colombia,2015,female,25-34 years,111,4031995,0.742,"291,519,591,533",6552,Millenials
Colombia,2015,female,35-54 years,96,6566323,0.742,"291,519,591,533",6552,Generation X
Colombia,2015,female,75+ years,10,715044,0.742,"291,519,591,533",6552,Silent
Colombia,2015,female,55-74 years,45,3367078,0.742,"291,519,591,533",6552,Boomers
Colombia,2015,female,5-14 years,44,3904896,0.742,"291,519,591,533",6552,Generation Z
Colombia,2015,male,5-14 years,39,4070023,0.742,"291,519,591,533",6552,Generation Z
Costa Rica,2011,male,25-34 years,72,379928,0.76,"42,262,697,840",9978,Millenials
Costa Rica,2011,male,75+ years,9,60741,0.76,"42,262,697,840",9978,Silent
Costa Rica,2011,male,35-54 years,85,589634,0.76,"42,262,697,840",9978,Generation X
Costa Rica,2011,male,55-74 years,40,285540,0.76,"42,262,697,840",9978,Boomers
Costa Rica,2011,male,15-24 years,52,419970,0.76,"42,262,697,840",9978,Millenials
Costa Rica,2011,female,15-24 years,20,404197,0.76,"42,262,697,840",9978,Millenials
Costa Rica,2011,female,55-74 years,8,299105,0.76,"42,262,697,840",9978,Boomers
Costa Rica,2011,female,35-54 years,14,600898,0.76,"42,262,697,840",9978,Generation X
Costa Rica,2011,female,25-34 years,8,371907,0.76,"42,262,697,840",9978,Millenials
Costa Rica,2011,male,5-14 years,5,381413,0.76,"42,262,697,840",9978,Generation Z
Costa Rica,2011,female,75+ years,1,77576,0.76,"42,262,697,840",9978,Silent
Costa Rica,2011,female,5-14 years,2,364605,0.76,"42,262,697,840",9978,Generation Z
Costa Rica,2012,male,35-54 years,94,598555,0.772,"46,473,128,286",10832,Generation X
Costa Rica,2012,male,25-34 years,55,387974,0.772,"46,473,128,286",10832,Millenials
Costa Rica,2012,male,15-24 years,58,419511,0.772,"46,473,128,286",10832,Millenials
Costa Rica,2012,male,55-74 years,40,297364,0.772,"46,473,128,286",10832,Boomers
Costa Rica,2012,male,75+ years,8,63663,0.772,"46,473,128,286",10832,Silent
Costa Rica,2012,female,35-54 years,16,609857,0.772,"46,473,128,286",10832,Generation X
Costa Rica,2012,female,15-24 years,10,403604,0.772,"46,473,128,286",10832,Millenials
Costa Rica,2012,female,55-74 years,6,311981,0.772,"46,473,128,286",10832,Boomers
Costa Rica,2012,female,25-34 years,7,379310,0.772,"46,473,128,286",10832,Millenials
Costa Rica,2012,male,5-14 years,5,377001,0.772,"46,473,128,286",10832,Generation Z
Costa Rica,2012,female,5-14 years,3,360319,0.772,"46,473,128,286",10832,Generation Z
Costa Rica,2012,female,75+ years,0,81071,0.772,"46,473,128,286",10832,Silent
Costa Rica,2013,male,25-34 years,75,395371,0.776,"49,745,088,112",11443,Millenials
Costa Rica,2013,male,75+ years,12,66659,0.776,"49,745,088,112",11443,Silent
Costa Rica,2013,male,55-74 years,49,310249,0.776,"49,745,088,112",11443,Boomers
Costa Rica,2013,male,35-54 years,82,607709,0.776,"49,745,088,112",11443,Generation X
Costa Rica,2013,male,15-24 years,48,418437,0.776,"49,745,088,112",11443,Millenials
Costa Rica,2013,female,25-34 years,11,386168,0.776,"49,745,088,112",11443,Millenials
Costa Rica,2013,female,35-54 years,13,618837,0.776,"49,745,088,112",11443,Generation X
Costa Rica,2013,female,15-24 years,8,402392,0.776,"49,745,088,112",11443,Millenials
Costa Rica,2013,male,5-14 years,6,373658,0.776,"49,745,088,112",11443,Generation Z
Costa Rica,2013,female,55-74 years,5,325956,0.776,"49,745,088,112",11443,Boomers
Costa Rica,2013,female,75+ years,1,84743,0.776,"49,745,088,112",11443,Silent
Costa Rica,2013,female,5-14 years,1,357050,0.776,"49,745,088,112",11443,Generation Z
Costa Rica,2014,male,55-74 years,46,323941,0.78,"50,577,769,838",11485,Boomers
Costa Rica,2014,male,35-54 years,76,616724,0.78,"50,577,769,838",11485,Generation X
Costa Rica,2014,male,25-34 years,49,401836,0.78,"50,577,769,838",11485,Millenials
Costa Rica,2014,male,15-24 years,43,416344,0.78,"50,577,769,838",11485,Millenials
Costa Rica,2014,male,75+ years,6,69706,0.78,"50,577,769,838",11485,Silent
Costa Rica,2014,female,25-34 years,12,392153,0.78,"50,577,769,838",11485,Millenials
Costa Rica,2014,female,15-24 years,12,400170,0.78,"50,577,769,838",11485,Millenials
Costa Rica,2014,female,75+ years,2,88574,0.78,"50,577,769,838",11485,Silent
Costa Rica,2014,female,35-54 years,11,627502,0.78,"50,577,769,838",11485,Generation X
Costa Rica,2014,female,55-74 years,5,340748,0.78,"50,577,769,838",11485,Boomers
Costa Rica,2014,female,5-14 years,3,354701,0.78,"50,577,769,838",11485,Generation Z
Costa Rica,2014,male,5-14 years,3,371275,0.78,"50,577,769,838",11485,Generation Z
Croatia,2011,male,75+ years,95,118029,0.815,"62,375,044,443",14890,Silent
Croatia,2011,male,55-74 years,188,467142,0.815,"62,375,044,443",14890,Boomers
Croatia,2011,male,35-54 years,148,616577,0.815,"62,375,044,443",14890,Generation X
Croatia,2011,male,25-34 years,63,314331,0.815,"62,375,044,443",14890,Millenials
Croatia,2011,female,75+ years,43,225925,0.815,"62,375,044,443",14890,Silent
Croatia,2011,female,55-74 years,68,545430,0.815,"62,375,044,443",14890,Boomers
Croatia,2011,male,15-24 years,24,269755,0.815,"62,375,044,443",14890,Millenials
Croatia,2011,female,35-54 years,52,621895,0.815,"62,375,044,443",14890,Generation X
Croatia,2011,female,25-34 years,11,304202,0.815,"62,375,044,443",14890,Millenials
Croatia,2011,female,15-24 years,8,258495,0.815,"62,375,044,443",14890,Millenials
Croatia,2011,male,5-14 years,2,229413,0.815,"62,375,044,443",14890,Generation Z
Croatia,2011,female,5-14 years,0,217835,0.815,"62,375,044,443",14890,Generation Z
Croatia,2012,male,75+ years,99,122607,0.816,"56,565,475,275",13952,Silent
Croatia,2012,male,55-74 years,207,465550,0.816,"56,565,475,275",13952,Boomers
Croatia,2012,male,35-54 years,201,591018,0.816,"56,565,475,275",13952,Generation X
Croatia,2012,female,75+ years,46,232222,0.816,"56,565,475,275",13952,Silent
Croatia,2012,male,25-34 years,51,294314,0.816,"56,565,475,275",13952,Millenials
Croatia,2012,male,15-24 years,35,256849,0.816,"56,565,475,275",13952,Millenials
Croatia,2012,female,55-74 years,73,541956,0.816,"56,565,475,275",13952,Boomers
Croatia,2012,female,35-54 years,42,594104,0.816,"56,565,475,275",13952,Generation X
Croatia,2012,female,25-34 years,13,283419,0.816,"56,565,475,275",13952,Millenials
Croatia,2012,female,15-24 years,5,245431,0.816,"56,565,475,275",13952,Millenials
Croatia,2012,male,5-14 years,3,219008,0.816,"56,565,475,275",13952,Generation Z
Croatia,2012,female,5-14 years,1,207818,0.816,"56,565,475,275",13952,Generation Z
Croatia,2013,male,75+ years,85,126153,0.821,"58,085,856,019",14362,Silent
Croatia,2013,male,55-74 years,174,469173,0.821,"58,085,856,019",14362,Boomers
Croatia,2013,male,35-54 years,186,587482,0.821,"58,085,856,019",14362,Generation X
Croatia,2013,male,25-34 years,59,291832,0.821,"58,085,856,019",14362,Millenials
Croatia,2013,male,15-24 years,41,254643,0.821,"58,085,856,019",14362,Millenials
Croatia,2013,female,75+ years,35,237107,0.821,"58,085,856,019",14362,Silent
Croatia,2013,female,55-74 years,48,544041,0.821,"58,085,856,019",14362,Boomers
Croatia,2013,female,35-54 years,48,589432,0.821,"58,085,856,019",14362,Generation X
Croatia,2013,female,25-34 years,9,281138,0.821,"58,085,856,019",14362,Millenials
Croatia,2013,female,15-24 years,6,243263,0.821,"58,085,856,019",14362,Millenials
Croatia,2013,male,5-14 years,1,215702,0.821,"58,085,856,019",14362,Generation Z
Croatia,2013,female,5-14 years,0,204491,0.821,"58,085,856,019",14362,Generation Z
Croatia,2014,male,75+ years,97,129205,0.824,"57,629,518,806",14299,Silent
Croatia,2014,male,55-74 years,193,473836,0.824,"57,629,518,806",14299,Boomers
Croatia,2014,male,35-54 years,167,582938,0.824,"57,629,518,806",14299,Generation X
Croatia,2014,female,75+ years,42,240853,0.824,"57,629,518,806",14299,Silent
Croatia,2014,male,15-24 years,37,251460,0.824,"57,629,518,806",14299,Millenials
Croatia,2014,male,25-34 years,42,287190,0.824,"57,629,518,806",14299,Millenials
Croatia,2014,female,55-74 years,71,547211,0.824,"57,629,518,806",14299,Boomers
Croatia,2014,female,35-54 years,49,583896,0.824,"57,629,518,806",14299,Generation X
Croatia,2014,female,15-24 years,12,240071,0.824,"57,629,518,806",14299,Millenials
Croatia,2014,female,25-34 years,11,277195,0.824,"57,629,518,806",14299,Millenials
Croatia,2014,female,5-14 years,1,202723,0.824,"57,629,518,806",14299,Generation Z
Croatia,2014,male,5-14 years,0,213874,0.824,"57,629,518,806",14299,Generation Z
Croatia,2015,male,75+ years,104,131896,0.827,"49,425,513,611",12351,Silent
Croatia,2015,male,55-74 years,207,476580,0.827,"49,425,513,611",12351,Boomers
Croatia,2015,male,35-54 years,155,575410,0.827,"49,425,513,611",12351,Generation X
Croatia,2015,female,75+ years,56,243369,0.827,"49,425,513,611",12351,Silent
Croatia,2015,male,25-34 years,41,280212,0.827,"49,425,513,611",12351,Millenials
Croatia,2015,male,15-24 years,34,247562,0.827,"49,425,513,611",12351,Millenials
Croatia,2015,female,55-74 years,75,548940,0.827,"49,425,513,611",12351,Boomers
Croatia,2015,female,35-54 years,51,576262,0.827,"49,425,513,611",12351,Generation X
Croatia,2015,female,25-34 years,7,271005,0.827,"49,425,513,611",12351,Millenials
Croatia,2015,female,15-24 years,6,236301,0.827,"49,425,513,611",12351,Millenials
Croatia,2015,female,5-14 years,2,201507,0.827,"49,425,513,611",12351,Generation Z
Croatia,2015,male,5-14 years,1,212625,0.827,"49,425,513,611",12351,Generation Z
Cuba,2011,male,75+ years,236,273331,0.778,"68,990,000,000",6419,Silent
Cuba,2011,male,55-74 years,345,987980,0.778,"68,990,000,000",6419,Boomers
Cuba,2011,male,35-54 years,441,1909690,0.778,"68,990,000,000",6419,Generation X
Cuba,2011,male,25-34 years,113,707701,0.778,"68,990,000,000",6419,Millenials
Cuba,2011,female,75+ years,50,352169,0.778,"68,990,000,000",6419,Silent
Cuba,2011,female,55-74 years,123,1022839,0.778,"68,990,000,000",6419,Boomers
Cuba,2011,male,15-24 years,75,808772,0.778,"68,990,000,000",6419,Millenials
Cuba,2011,female,35-54 years,106,1903248,0.778,"68,990,000,000",6419,Generation X
Cuba,2011,female,25-34 years,20,686162,0.778,"68,990,000,000",6419,Millenials
Cuba,2011,female,15-24 years,13,761258,0.778,"68,990,000,000",6419,Millenials
Cuba,2011,male,5-14 years,4,687609,0.778,"68,990,000,000",6419,Generation Z
Cuba,2011,female,5-14 years,3,647275,0.778,"68,990,000,000",6419,Generation Z
Cuba,2012,male,75+ years,245,283396,0.767,"73,141,000,000",6791,Silent
Cuba,2012,male,55-74 years,357,1000596,0.767,"73,141,000,000",6791,Boomers
Cuba,2012,male,35-54 years,412,1913864,0.767,"73,141,000,000",6791,Generation X
Cuba,2012,male,25-34 years,108,718645,0.767,"73,141,000,000",6791,Millenials
Cuba,2012,female,75+ years,52,364108,0.767,"73,141,000,000",6791,Silent
Cuba,2012,female,55-74 years,107,1037368,0.767,"73,141,000,000",6791,Boomers
Cuba,2012,male,15-24 years,71,795384,0.767,"73,141,000,000",6791,Millenials
Cuba,2012,female,35-54 years,94,1906959,0.767,"73,141,000,000",6791,Generation X
Cuba,2012,female,15-24 years,25,746677,0.767,"73,141,000,000",6791,Millenials
Cuba,2012,female,25-34 years,16,696377,0.767,"73,141,000,000",6791,Millenials
Cuba,2012,male,5-14 years,6,672968,0.767,"73,141,000,000",6791,Generation Z
Cuba,2012,female,5-14 years,2,634193,0.767,"73,141,000,000",6791,Generation Z
Cuba,2013,male,75+ years,216,293384,0.765,"77,148,000,000",7148,Silent
Cuba,2013,male,55-74 years,401,1014211,0.765,"77,148,000,000",7148,Boomers
Cuba,2013,male,35-54 years,436,1911139,0.765,"77,148,000,000",7148,Generation X
Cuba,2013,female,75+ years,49,376280,0.765,"77,148,000,000",7148,Silent
Cuba,2013,male,25-34 years,96,738010,0.765,"77,148,000,000",7148,Millenials
Cuba,2013,female,55-74 years,111,1052791,0.765,"77,148,000,000",7148,Boomers
Cuba,2013,male,15-24 years,47,778739,0.765,"77,148,000,000",7148,Millenials
Cuba,2013,female,35-54 years,94,1903641,0.765,"77,148,000,000",7148,Generation X
Cuba,2013,female,25-34 years,20,714544,0.765,"77,148,000,000",7148,Millenials
Cuba,2013,female,15-24 years,20,729372,0.765,"77,148,000,000",7148,Millenials
Cuba,2013,male,5-14 years,5,659106,0.765,"77,148,000,000",7148,Generation Z
Cuba,2013,female,5-14 years,4,621473,0.765,"77,148,000,000",7148,Generation Z
Cuba,2014,male,75+ years,221,303110,0.768,"80,656,100,000",7459,Silent
Cuba,2014,male,55-74 years,348,1034381,0.768,"80,656,100,000",7459,Boomers
Cuba,2014,male,35-54 years,409,1899900,0.768,"80,656,100,000",7459,Generation X
Cuba,2014,female,75+ years,51,388520,0.768,"80,656,100,000",7459,Silent
Cuba,2014,male,25-34 years,97,758006,0.768,"80,656,100,000",7459,Millenials
Cuba,2014,female,55-74 years,116,1074729,0.768,"80,656,100,000",7459,Boomers
Cuba,2014,male,15-24 years,62,761440,0.768,"80,656,100,000",7459,Millenials
Cuba,2014,female,35-54 years,107,1891607,0.768,"80,656,100,000",7459,Generation X
Cuba,2014,female,15-24 years,19,711945,0.768,"80,656,100,000",7459,Millenials
Cuba,2014,female,25-34 years,12,732841,0.768,"80,656,100,000",7459,Millenials
Cuba,2014,male,5-14 years,9,646878,0.768,"80,656,100,000",7459,Generation Z
Cuba,2014,female,5-14 years,2,610054,0.768,"80,656,100,000",7459,Generation Z
Cuba,2015,male,75+ years,257,312547,0.772,"87,132,800,000",8044,Silent
Cuba,2015,male,55-74 years,394,1064263,0.772,"87,132,800,000",8044,Boomers
Cuba,2015,male,35-54 years,418,1879569,0.772,"87,132,800,000",8044,Generation X
Cuba,2015,female,75+ years,56,400826,0.772,"87,132,800,000",8044,Silent
Cuba,2015,male,25-34 years,82,773518,0.772,"87,132,800,000",8044,Millenials
Cuba,2015,female,55-74 years,104,1106391,0.772,"87,132,800,000",8044,Boomers
Cuba,2015,male,15-24 years,56,745157,0.772,"87,132,800,000",8044,Millenials
Cuba,2015,female,35-54 years,102,1870168,0.772,"87,132,800,000",8044,Generation X
Cuba,2015,female,25-34 years,21,746139,0.772,"87,132,800,000",8044,Millenials
Cuba,2015,female,15-24 years,17,696005,0.772,"87,132,800,000",8044,Millenials
Cuba,2015,male,5-14 years,4,636828,0.772,"87,132,800,000",8044,Generation Z
Cuba,2015,female,5-14 years,0,600657,0.772,"87,132,800,000",8044,Generation Z
Cyprus,2011,male,35-54 years,12,108755,0.853,"27,427,161,523",34249,Generation X
Cyprus,2011,male,55-74 years,8,77047,0.853,"27,427,161,523",34249,Boomers
Cyprus,2011,male,75+ years,2,19308,0.853,"27,427,161,523",34249,Silent
Cyprus,2011,male,15-24 years,3,67311,0.853,"27,427,161,523",34249,Millenials
Cyprus,2011,female,75+ years,1,25937,0.853,"27,427,161,523",34249,Silent
Cyprus,2011,female,35-54 years,3,122543,0.853,"27,427,161,523",34249,Generation X
Cyprus,2011,female,55-74 years,1,80672,0.853,"27,427,161,523",34249,Boomers
Cyprus,2011,female,15-24 years,0,64690,0.853,"27,427,161,523",34249,Millenials
Cyprus,2011,female,25-34 years,0,73838,0.853,"27,427,161,523",34249,Millenials
Cyprus,2011,female,5-14 years,0,44757,0.853,"27,427,161,523",34249,Generation Z
Cyprus,2011,male,25-34 years,0,68773,0.853,"27,427,161,523",34249,Millenials
Cyprus,2011,male,5-14 years,0,47189,0.853,"27,427,161,523",34249,Generation Z
Cyprus,2012,male,25-34 years,9,70596,0.852,"25,041,372,222",30752,Millenials
Cyprus,2012,male,35-54 years,14,110616,0.852,"25,041,372,222",30752,Generation X
Cyprus,2012,male,15-24 years,6,66014,0.852,"25,041,372,222",30752,Millenials
Cyprus,2012,male,55-74 years,5,79804,0.852,"25,041,372,222",30752,Boomers
Cyprus,2012,female,25-34 years,1,75365,0.852,"25,041,372,222",30752,Millenials
Cyprus,2012,female,35-54 years,1,125423,0.852,"25,041,372,222",30752,Generation X
Cyprus,2012,female,15-24 years,0,63355,0.852,"25,041,372,222",30752,Millenials
Cyprus,2012,female,5-14 years,0,44613,0.852,"25,041,372,222",30752,Generation Z
Cyprus,2012,female,55-74 years,0,83946,0.852,"25,041,372,222",30752,Boomers
Cyprus,2012,female,75+ years,0,27031,0.852,"25,041,372,222",30752,Silent
Cyprus,2012,male,5-14 years,0,47222,0.852,"25,041,372,222",30752,Generation Z
Cyprus,2012,male,75+ years,0,20320,0.852,"25,041,372,222",30752,Silent
Cyprus,2013,male,75+ years,3,21349,0.853,"24,084,572,491",29624,Silent
Cyprus,2013,male,15-24 years,8,62893,0.853,"24,084,572,491",29624,Millenials
Cyprus,2013,male,55-74 years,10,81903,0.853,"24,084,572,491",29624,Boomers
Cyprus,2013,male,25-34 years,8,70521,0.853,"24,084,572,491",29624,Millenials
Cyprus,2013,male,35-54 years,11,110593,0.853,"24,084,572,491",29624,Generation X
Cyprus,2013,female,35-54 years,4,125846,0.853,"24,084,572,491",29624,Generation X
Cyprus,2013,female,55-74 years,1,86452,0.853,"24,084,572,491",29624,Boomers
Cyprus,2013,female,15-24 years,0,59969,0.853,"24,084,572,491",29624,Millenials
Cyprus,2013,female,25-34 years,0,73849,0.853,"24,084,572,491",29624,Millenials
Cyprus,2013,female,5-14 years,0,44407,0.853,"24,084,572,491",29624,Generation Z
Cyprus,2013,female,75+ years,0,28320,0.853,"24,084,572,491",29624,Silent
Cyprus,2013,male,5-14 years,0,46914,0.853,"24,084,572,491",29624,Generation Z
Cyprus,2014,male,35-54 years,13,107823,0.856,"23,359,294,149",29024,Generation X
Cyprus,2014,male,25-34 years,8,68555,0.856,"23,359,294,149",29024,Millenials
Cyprus,2014,male,55-74 years,7,82766,0.856,"23,359,294,149",29024,Boomers
Cyprus,2014,female,55-74 years,5,87152,0.856,"23,359,294,149",29024,Boomers
Cyprus,2014,female,25-34 years,4,72330,0.856,"23,359,294,149",29024,Millenials
Cyprus,2014,female,15-24 years,3,59114,0.856,"23,359,294,149",29024,Millenials
Cyprus,2014,male,75+ years,1,22372,0.856,"23,359,294,149",29024,Silent
Cyprus,2014,male,15-24 years,2,60975,0.856,"23,359,294,149",29024,Millenials
Cyprus,2014,female,35-54 years,1,122485,0.856,"23,359,294,149",29024,Generation X
Cyprus,2014,female,5-14 years,0,44760,0.856,"23,359,294,149",29024,Generation Z
Cyprus,2014,female,75+ years,0,29382,0.856,"23,359,294,149",29024,Silent
Cyprus,2014,male,5-14 years,0,47104,0.856,"23,359,294,149",29024,Generation Z
Cyprus,2015,male,55-74 years,9,83627,0.86,"19,676,167,240",24718,Boomers
Cyprus,2015,male,25-34 years,7,67482,0.86,"19,676,167,240",24718,Millenials
Cyprus,2015,male,35-54 years,10,106371,0.86,"19,676,167,240",24718,Generation X
Cyprus,2015,male,15-24 years,5,58308,0.86,"19,676,167,240",24718,Millenials
Cyprus,2015,female,55-74 years,3,87902,0.86,"19,676,167,240",24718,Boomers
Cyprus,2015,female,25-34 years,2,70765,0.86,"19,676,167,240",24718,Millenials
Cyprus,2015,female,35-54 years,3,118975,0.86,"19,676,167,240",24718,Generation X
Cyprus,2015,female,15-24 years,1,58123,0.86,"19,676,167,240",24718,Millenials
Cyprus,2015,female,5-14 years,0,44693,0.86,"19,676,167,240",24718,Generation Z
Cyprus,2015,female,75+ years,0,29924,0.86,"19,676,167,240",24718,Silent
Cyprus,2015,male,5-14 years,0,46906,0.86,"19,676,167,240",24718,Generation Z
Cyprus,2015,male,75+ years,0,22961,0.86,"19,676,167,240",24718,Silent
Czech Republic,2011,male,75+ years,118,246004,0.865,"227,948,349,666",23010,Silent
Czech Republic,2011,male,55-74 years,424,1152114,0.865,"227,948,349,666",23010,Boomers
Czech Republic,2011,male,35-54 years,500,1517715,0.865,"227,948,349,666",23010,Generation X
Czech Republic,2011,male,25-34 years,173,818695,0.865,"227,948,349,666",23010,Millenials
Czech Republic,2011,male,15-24 years,120,632356,0.865,"227,948,349,666",23010,Millenials
Czech Republic,2011,female,75+ years,43,454906,0.865,"227,948,349,666",23010,Silent
Czech Republic,2011,female,35-54 years,86,1456523,0.865,"227,948,349,666",23010,Generation X
Czech Republic,2011,female,55-74 years,77,1312571,0.865,"227,948,349,666",23010,Boomers
Czech Republic,2011,female,25-34 years,28,771896,0.865,"227,948,349,666",23010,Millenials
Czech Republic,2011,female,15-24 years,19,602033,0.865,"227,948,349,666",23010,Millenials
Czech Republic,2011,male,5-14 years,2,483911,0.865,"227,948,349,666",23010,Generation Z
Czech Republic,2011,female,5-14 years,0,457594,0.865,"227,948,349,666",23010,Generation Z
Czech Republic,2012,male,75+ years,146,248952,0.865,"207,376,427,021",20898,Silent
Czech Republic,2012,male,55-74 years,430,1173069,0.865,"207,376,427,021",20898,Boomers
Czech Republic,2012,male,35-54 years,538,1537251,0.865,"207,376,427,021",20898,Generation X
Czech Republic,2012,male,25-34 years,179,796162,0.865,"207,376,427,021",20898,Millenials
Czech Republic,2012,male,15-24 years,84,609704,0.865,"207,376,427,021",20898,Millenials
Czech Republic,2012,female,75+ years,45,456859,0.865,"207,376,427,021",20898,Silent
Czech Republic,2012,female,55-74 years,106,1333013,0.865,"207,376,427,021",20898,Boomers
Czech Republic,2012,female,35-54 years,94,1471892,0.865,"207,376,427,021",20898,Generation X
Czech Republic,2012,female,25-34 years,22,750032,0.865,"207,376,427,021",20898,Millenials
Czech Republic,2012,female,15-24 years,10,581629,0.865,"207,376,427,021",20898,Millenials
Czech Republic,2012,male,5-14 years,3,495721,0.865,"207,376,427,021",20898,Generation Z
Czech Republic,2012,female,5-14 years,1,468843,0.865,"207,376,427,021",20898,Generation Z
Czech Republic,2013,male,75+ years,129,252532,0.874,"209,402,444,996",21073,Silent
Czech Republic,2013,male,55-74 years,399,1188011,0.874,"209,402,444,996",21073,Boomers
Czech Republic,2013,male,35-54 years,485,1556338,0.874,"209,402,444,996",21073,Generation X
Czech Republic,2013,male,25-34 years,168,773130,0.874,"209,402,444,996",21073,Millenials
Czech Republic,2013,male,15-24 years,108,586871,0.874,"209,402,444,996",21073,Millenials
Czech Republic,2013,female,75+ years,36,459282,0.874,"209,402,444,996",21073,Silent
Czech Republic,2013,female,35-54 years,108,1488299,0.874,"209,402,444,996",21073,Generation X
Czech Republic,2013,female,55-74 years,92,1347862,0.874,"209,402,444,996",21073,Boomers
Czech Republic,2013,female,25-34 years,30,729365,0.874,"209,402,444,996",21073,Millenials
Czech Republic,2013,female,15-24 years,15,560391,0.874,"209,402,444,996",21073,Millenials
Czech Republic,2013,male,5-14 years,5,510895,0.874,"209,402,444,996",21073,Generation Z
Czech Republic,2013,female,5-14 years,2,483804,0.874,"209,402,444,996",21073,Generation Z
Czech Republic,2014,male,75+ years,123,257383,0.879,"207,818,330,724",20859,Silent
Czech Republic,2014,male,55-74 years,364,1197687,0.879,"207,818,330,724",20859,Boomers
Czech Republic,2014,male,35-54 years,467,1580637,0.879,"207,818,330,724",20859,Generation X
Czech Republic,2014,male,25-34 years,157,752372,0.879,"207,818,330,724",20859,Millenials
Czech Republic,2014,male,15-24 years,84,565782,0.879,"207,818,330,724",20859,Millenials
Czech Republic,2014,female,75+ years,54,464061,0.879,"207,818,330,724",20859,Silent
Czech Republic,2014,female,55-74 years,107,1356408,0.879,"207,818,330,724",20859,Boomers
Czech Republic,2014,female,35-54 years,94,1509758,0.879,"207,818,330,724",20859,Generation X
Czech Republic,2014,female,25-34 years,26,711374,0.879,"207,818,330,724",20859,Millenials
Czech Republic,2014,female,15-24 years,11,540106,0.879,"207,818,330,724",20859,Millenials
Czech Republic,2014,female,5-14 years,1,500027,0.879,"207,818,330,724",20859,Generation Z
Czech Republic,2014,male,5-14 years,1,527532,0.879,"207,818,330,724",20859,Generation Z
Czech Republic,2015,male,75+ years,145,264401,0.882,"186,829,940,546",18703,Silent
Czech Republic,2015,male,55-74 years,373,1202553,0.882,"186,829,940,546",18703,Boomers
Czech Republic,2015,male,35-54 years,404,1602521,0.882,"186,829,940,546",18703,Generation X
Czech Republic,2015,male,25-34 years,151,737221,0.882,"186,829,940,546",18703,Millenials
Czech Republic,2015,male,15-24 years,58,546597,0.882,"186,829,940,546",18703,Millenials
Czech Republic,2015,female,75+ years,44,471092,0.882,"186,829,940,546",18703,Silent
Czech Republic,2015,female,55-74 years,80,1358421,0.882,"186,829,940,546",18703,Boomers
Czech Republic,2015,female,35-54 years,86,1528289,0.882,"186,829,940,546",18703,Generation X
Czech Republic,2015,female,15-24 years,19,521060,0.882,"186,829,940,546",18703,Millenials
Czech Republic,2015,female,25-34 years,20,698584,0.882,"186,829,940,546",18703,Millenials
Czech Republic,2015,female,5-14 years,5,515457,0.882,"186,829,940,546",18703,Generation Z
Czech Republic,2015,male,5-14 years,2,543129,0.882,"186,829,940,546",18703,Generation Z
Denmark,2011,male,75+ years,48,156856,0.922,"344,003,209,696",65598,Silent
Denmark,2011,male,35-54 years,189,791137,0.922,"344,003,209,696",65598,Generation X
Denmark,2011,male,55-74 years,139,621859,0.922,"344,003,209,696",65598,Boomers
Denmark,2011,male,25-34 years,35,326633,0.922,"344,003,209,696",65598,Millenials
